case,time_CONVEX,time_EXACT
pglib_opf_case500_tamu,5.280928134918213,0.04068199917674065
pglib_opf_case3375wp_k,13.941216468811035,0.4947899878025055
pglib_opf_case6515_rte,1529.502197265625,0.9899629950523376
pglib_opf_case118_ieee,4.147875785827637,0.01871900074183941
pglib_opf_case30_as,4.0985870361328125,0.007067000027745962
pglib_opf_case1888_rte,16.143552780151367,0.2069139927625656
pglib_opf_case4661_sdet,20.94843292236328,0.7499189972877502
pglib_opf_case10000_tamu,170.49990844726562,1.2738430500030518
pglib_opf_case2868_rte,24.08441925048828,0.3685750067234039
pglib_opf_case3012wp_k,14.251766204833984,0.4251070022583008
pglib_opf_case162_ieee_dtc,4.374341011047363,0.0220550000667572
pglib_opf_case1951_rte,17.497005462646484,0.2317380011081696
pglib_opf_case73_ieee_rts,4.16278076171875,0.013152999803423882
pglib_opf_case5_pjm,3.9954850673675537,0.004852000158280134
pglib_opf_case240_pserc,4.6566500663757315,0.0439319983124733
pglib_opf_case89_pegase,4.234595775604248,0.014724999666213991
pglib_opf_case2316_sdet,10.504838943481444,0.30434298515319824
pglib_opf_case2737sop_k,8.828943252563477,0.213018998503685
pglib_opf_case200_tamu,4.228978157043457,0.01614299975335598
pglib_opf_case588_sdet,5.021195888519287,0.053403999656438834
pglib_opf_case2848_rte,107.28545379638672,0.30278199911117554
pglib_opf_case2869_pegase,15.882965087890625,0.44548499584198
pglib_opf_case2000_tamu,9.613750457763672,0.28197601437568665
pglib_opf_case9241_pegase,200.43458557128903,2.2472970485687256
pglib_opf_case1354_pegase,9.476882934570312,0.2257480025291443
pglib_opf_case30_ieee,4.104273796081543,0.006401000078767538
pglib_opf_case300_ieee,4.406067848205566,0.037376999855041504
pglib_opf_case3_lmbd,4.072947025299071,0.0049990001134574405
pglib_opf_case39_epri,4.1049227714538565,0.007302999962121248
pglib_opf_case179_goc,4.255837917327882,0.02265699952840805
pglib_opf_case2383wp_k,11.640142440795898,0.29427799582481384
pglib_opf_case3120sp_k,13.242086410522461,0.4347949922084808
pglib_opf_case2853_sdet,14.836981773376465,0.5786100029945374
pglib_opf_case6470_rte,85.44248962402344,0.8214730024337769
pglib_opf_case30_fsr,4.0472140312194815,0.006864999886602163
pglib_opf_case2746wop_k,9.240748405456543,0.21988800168037412
pglib_opf_case24_ieee_rts,4.1102027893066415,0.007548999972641469
pglib_opf_case2746wp_k,12.318093299865724,0.28234198689460754
pglib_opf_case13659_pegase,154.46902465820312,3.33992600440979
pglib_opf_case14_ieee,3.988318920135498,0.005415000021457672
pglib_opf_case2736sp_k,10.382601737976074,0.2568899989128113
pglib_opf_case6495_rte,115.42186737060548,1.0022599697113037
pglib_opf_case6468_rte,52.953330993652344,0.7843139767646791
pglib_opf_case57_ieee,4.242854118347168,0.01014500018209219
