case,objective_val
pglib_opf_case500_tamu,72578.2979800385
pglib_opf_case3375wp_k,7438169.48087319
pglib_opf_case6515_rte,2825499.77366879
pglib_opf_case118_ieee,97213.6055414926
pglib_opf_case30_as,803.127430599442
pglib_opf_case1888_rte,1402530.92058565
pglib_opf_case4661_sdet,2251344.08651834
pglib_opf_case10000_tamu,2485898.75132523
pglib_opf_case2868_rte,2009605.32868134
pglib_opf_case3012wp_k,2600842.75458938
pglib_opf_case162_ieee_dtc,108075.645758944
pglib_opf_case1951_rte,2085581.85750515
pglib_opf_case73_ieee_rts,189764.076779648
pglib_opf_case5_pjm,17551.8905283353
pglib_opf_case240_pserc,3329670.09195147
pglib_opf_case89_pegase,107285.674334225
pglib_opf_case2316_sdet,1775325.55994661
pglib_opf_case2737sop_k,777727.683956522
pglib_opf_case200_tamu,27557.5708559929
pglib_opf_case588_sdet,313139.782522261
pglib_opf_case2848_rte,1286608.20954387
pglib_opf_case2869_pegase,2462790.45315096
pglib_opf_case2000_tamu,1228487.05738421
pglib_opf_case9241_pegase,6243111.08355727
pglib_opf_case1354_pegase,1258843.9967602
pglib_opf_case30_ieee,8208.51535459416
pglib_opf_case300_ieee,565219.99088046
pglib_opf_case3_lmbd,5812.6429730844
pglib_opf_case39_epri,138415.563130907
pglib_opf_case179_goc,754266.419187534
pglib_opf_case2383wp_k,1868191.63173103
pglib_opf_case3120sp_k,2147969.90773116
pglib_opf_case2853_sdet,2052386.73515783
pglib_opf_case6470_rte,2237570.6142079
pglib_opf_case30_fsr,575.768879763075
pglib_opf_case2746wop_k,1208258.5025257
pglib_opf_case24_ieee_rts,63352.1943100059
pglib_opf_case2746wp_k,1631707.93455492
pglib_opf_case13659_pegase,8948050.6972455
pglib_opf_case14_ieee,2178.08038975669
pglib_opf_case2736sp_k,1308014.9984843
pglib_opf_case6495_rte,3067825.7978577
pglib_opf_case6468_rte,2069730.1689747
pglib_opf_case57_ieee,37589.3382878116
